id;dealer id;OEM;Dealer π (RO);ESN;Mileage;m type;application;"Model
/Series ESN";Date of failure;Claim date received (first time);First question date ;—laim submission/denial  date;Credit statement date ;Claim Amount;Approove;author;adviser;NARRATIVE;HISTORY;STATUS
48;28;belaz;25224;37276343;4260;0;0;ktta-19;2019-12-30;2020-01-16;;2020-01-21;2020-01-22;1301;1362;11;2;;;3
49;57;KAVZ;498;78180863;17524;1;5;B6.7 G;2019-12-30;2020-01-16;2020-01-16;2020-02-11;2020-02-14;4208.9;4208.9;42;5;;;3
50;21;Zhong Tong;SZ2093;78931817;36374;1;5;ISLe9;2019-11-28;2020-01-15;;2020-01-23;2020-01-23;1625.5;1723.5;12;7;;;3
51;21;Zhong Tong;SZ2097;78895999;26032;1;5;ISLe9;2019-12-13;2020-01-15;;2020-01-23;2020-01-23;2205;2205;12;7;;;3
52;21;Zhong Tong;SZ2098;78933407;41400;1;5;ISLe9;2019-12-16;2020-01-15;2020-01-28;2020-01-28;2020-01-28;9687.1;9711.1;12;7;;;3
53;21;BELAZ;3873;37254048;338;0;0;KTTA-19;2019-11-21;2020-01-17;2020-01-23;2020-03-16;2020-03-17;2987;2970;12;3;;;3
54;21;BELAZ;3874;37243770;914;0;0;KTTA-19;2019-11-07;2020-01-17;;2020-01-27;2020-01-28;6084.5;6084.5;12;3;;;3
55;21;BELAZ;3875;37254048;620;0;0;KTTA-19;2019-12-11;2020-01-17;2020-01-23;2020-03-16;2020-03-17;7460.3;7545.3;12;3;;;3
56;41;Furukawa;131-19;46561722;652;0;0;QSC8,3;2019-12-17;2020-01-17;;2020-01-21;2020-01-22;5622.2;5587.2;35;4;;;3
57;28;belaz;25226;37277780;1429;0;0;QST-30;2019-12-02;2020-01-17;;2020-01-21;2020-01-21;3161.2;3161.2;11;2;;;3
58;28;belaz;25225;66304485;631;0;0;QSK-78;2019-12-27;2020-01-17;;2020-01-21;2020-01-23;3674.9;3654.9;11;2;;;3
59;38;kamaz;325340;86064632;21525;1;1;ISB6.7;2019-12-02;2020-01-17;;2020-01-26;2020-01-27;6597.5;6596.5;34;1;;;3
60;24;Komatsu;15700;33211271;12324;0;0;QSK50;2020-01-04;2020-01-17;2020-01-21;2020-01-22;2020-01-28;9384.9;9416.9;20;7;;;3
61;38;kamaz;332116;86071558;30542;1;1;ISL;2019-12-23;2020-01-17;2020-01-24;2020-02-07;2020-02-07;442.7;368.7;34;1;;;3
62;64;BELAZ;44;37278565;1457;0;0;KTTA-19;2019-10-21;2020-01-19;2020-02-10;2020-03-03;2020-03-03;4195;4119;47;3;;;3
63;64;belaz;49;37277253;3075;0;0;QST30;2019-11-13;2020-01-19;2020-02-10;2020-02-17;2020-02-20;5858.6;5805.6;47;5;;;3
64;28;LIEBHERR;25227;33212430;5061;0;0;QSKTA-60;2019-11-29;2020-01-20;;2020-01-22;2020-01-24;245.7;245.7;11;2;;;3
65;28;belaz;25228;33214775;6353;0;0;KTA-38;2020-01-10;2020-01-20;;2020-01-22;2020-01-23;8260.2;8271.2;11;2;;;3
66;28;Komatsu;25229;33212909;7897;0;0;QSKTA-50;2020-01-06;2020-01-20;2020-01-22;2020-01-27;2020-01-29;9159.6;9187.6;11;2;;;3
67;28;belaz;25230;33217226;3691;0;0;QSK-60;2019-12-03;2020-01-20;;2020-01-22;2020-01-23;1789.5;1756.5;12;2;;;3
68;28;belaz;25231;37278844;898;0;0;KTTA-19;2019-12-03;2020-01-20;;2020-01-22;2020-01-22;5300.4;5231.4;12;2;;;3
69;16;maz;461-PK;89194141;75151;1;1;ISF3.8;2019-04-02;2020-01-20;;2020-01-30;2020-01-30;4429.5;4401.5;10;4;;;3
70;16;maz;451-– ;76367030;38988;1;1;ISF3.8;2019-03-21;2020-01-20;;2020-01-21;2020-01-27;2277;2277;10;4;;;3
71;16;maz;457-– ;76367034;49987;1;1;ISF3.8;2019-09-24;2020-01-20;;2020-01-21;2020-01-27;9542.3;9471.3;10;4;;;3
72;28;belaz;25232;33200115;1;0;0;QSK-60;2019-12-30;2020-01-20;;2020-01-22;2020-01-27;7338.1;7338.1;11;2;;;3
73;16;maz;459-«Õ ;89193981;98359;1;1;ISB/ISD4.5;2019-08-22;2020-01-20;;2020-02-21;2020-02-26;5452.9;5452.9;10;4;;;3
74;28;belaz;25233;33217225;6115;0;0;QSK-60;2019-12-03;2020-01-20;;2020-01-22;2020-01-23;9083.7;9083.7;12;2;;;3
75;16;maz;460-«Õ ;76322819;1833;1;1;ISF3.8;2019-04-02;2020-01-20;;2020-01-21;2020-01-27;7987;8051;10;4;;;3
76;21;BELAZ;3871;37277363;1052;0;0; ““¿-19;2019-11-02;2020-01-20;2020-01-23;2020-01-27;2020-01-27;711.4;720.4;12;3;;;3
77;28;belaz;25234;37245640;423;0;0;KTTA-19;2019-12-03;2020-01-20;;2020-01-22;2020-01-23;7633.7;7633.7;12;2;;;3
78;28;Liebherr;25235;33209323;11548;0;0;QSK-38;2019-11-30;2020-01-20;2020-01-23;2020-01-27;2020-01-27;2396.6;2469.6;11;2;;;3
79;38;kamaz;331109;86069466;20201;1;1;ISB6.7;2019-12-19;2020-01-20;2020-01-27;2020-02-11;2020-02-17;5357.6;5297.6;34;1;;;3
80;16;maz;454-PK;76323287;21064;1;1;ISF3.8;2019-11-05;2020-01-20;;2020-01-21;2020-01-24;7157.2;7072.2;10;4;;;3
81;16;maz;453-«Õ ;76323290;6963;1;1;ISF3.8;2019-08-02;2020-01-20;;2020-01-21;2020-01-21;5554.8;5567.8;10;4;;;3
82;16;maz;455-«Õ ;89952517;16398;1;1;ISF3.8;2019-11-04;2020-01-20;;2020-02-21;2020-02-25;7174.7;7241.7;10;4;;;3
83;16;maz;462-«Õ ;76324862;9747;1;1;ISF3.8;2019-10-17;2020-01-20;;2020-02-21;2020-02-27;4883.6;4883.6;10;4;;;3
84;21;BELAZ;3835;37275362;121;0;0; ““¿-19;2019-10-08;2020-01-21;;2020-01-24;2020-01-24;4977.9;4977.9;12;3;;;3
85;28;belaz;25236;33216866;6540;0;0;QSK-60;2019-11-23;2020-01-21;;2020-01-23;2020-01-23;2803.3;2894.3;11;2;;;3
86;28;belaz;25237;66305212;2379;0;0;QSK-78;2019-11-22;2020-01-21;;2020-01-23;2020-01-27;7935.1;7961.1;11;2;;;3
87;38;kamaz;297158;78522192;6181;1;1;ISLe;2019-08-30;2020-01-21;2020-01-28;2020-03-13;2020-03-20;3274.9;3282.9;34;1;;;3
88;28;belaz;25238;33218691;528;0;0;QSK-60;2020-01-14;2020-01-21;;2020-01-23;2020-01-27;1466.9;1466.9;11;2;;;3
89;38;kamaz;307190;86060398;31583;1;1;ISB6.7;2019-10-08;2020-01-21;;2020-01-29;2020-01-30;5425.7;5411.7;34;1;;;3
90;41;HITACHI;001-20;35354433;135;0;0;QSM11;2020-01-09;2020-01-21;;2020-02-11;2020-02-17;1639.2;1734.2;35;4;;;3
91;28;belaz;25239;37246538;1463;0;0;KTTA-19;2019-12-04;2020-01-21;;2020-01-23;2020-01-27;7881.1;7859.1;11;2;;;3
92;67;ZHENGZHOU YUTONG;0091-19;78889748;27726;1;5;ISLe;2019-12-17;2020-01-21;;2020-02-12;2020-02-12;1394.5;1394.5;50;5;;;3
93;38;kamaz;305157;86058596;21810;1;1;ISLe;2019-09-30;2020-01-21;2020-01-28;2020-02-11;2020-02-11;4854.3;4898.3;34;1;;;3
94;67;ZHENGZHOU YUTONG;0092-19;78895602;34469;1;5;ISLe;2019-12-17;2020-01-21;;2020-02-12;2020-02-12;7622.7;7638.7;50;5;;;3
95;21;BELAZ;3886;37274615;7578;0;0;KTTA-19;2019-11-21;2020-01-21;;2020-01-21;2020-01-24;9930.4;9972.4;12;3;;;3
96;24;SHAAZ;97;37278110;9;0;4;QST-30;2019-10-01;2020-01-22;;2020-01-24;2020-02-06;8328.8;8328.8;20;3;;;3
97;67;ZHONGTONG;0093-19;78937830;29758;1;5;ISLe;2019-12-26;2020-01-21;2020-02-12;2020-03-04;2020-03-05;477.7;477.7;50;7;;;3
98;38;kamaz;323214;86067127;16294;1;1;ISB6.7;2019-12-09;2020-01-21;2020-01-28;2020-02-17;2020-02-17;7635.3;7721.3;34;1;;;3
99;38;kamaz;331513;86068900;40499;1;1;ISB6.7;2019-12-20;2020-01-21;2020-01-28;2020-02-11;2020-02-11;8651;8651;34;1;;;3
100;57;KAVZ;502;78180665;85271;1;5;B6.7;2020-01-14;2020-01-21;;2020-04-13;2020-04-21;4730.4;4733.4;42;5;;;3
101;21;BELAZ;3876;33216930;4824;0;0; “¿-50;2019-11-06;2020-01-21;2020-01-23;2020-01-27;2020-01-29;6933.9;6908.9;12;3;;;3
102;28;belaz;25240;33217768;3692;0;0;QSK-60;2019-12-04;2020-01-22;;2020-01-23;2020-01-27;5934.8;5934.8;12;2;;;3
103;28;belaz;25241;37271998;3946;0;0;KTTA-19;2019-12-15;2020-01-22;;2020-01-23;2020-01-27;5593.4;5543.4;12;2;;;3
104;38;kamaz;328318;86051033;62546;1;1;ISB6.7;2019-12-11;2020-01-22;;2020-01-30;2020-01-31;4133.8;4121.8;34;1;;;3
105;21;BELAZ;3877;37278070;2015;0;0; ““¿-19;2019-11-06;2020-01-22;;2020-01-23;2020-01-23;2415.1;2415.1;12;3;;;3
106;28;belaz;25242;33218006;2244;0;0;QSK-60;2019-12-05;2020-01-22;;2020-01-23;2020-01-27;7836.4;7878.4;12;2;;;3
107;38;kamaz;332871;86067383;23521;1;1;ISB6.7;2019-12-25;2020-01-22;;2020-01-30;2020-02-03;3795.9;3795.9;34;1;;;3
108;57;KAVZ;493;78180665;85271;1;5;B6.7;2020-01-14;2020-01-21;;2020-04-13;2020-04-21;8718.4;8718.4;42;5;;;3
109;28;belaz;25243;37276984;803;0;0;QST-30;2019-12-09;2020-01-22;;2020-01-23;2020-01-27;2731.4;2731.4;12;2;;;3
110;38;kamaz;322195;86075500;2963;1;1;ISB6.7;2019-11-25;2020-01-22;2020-01-29;2020-03-04;2020-03-04;4621.4;4716.4;34;1;;;3
111;28;belaz;25244;37247997;3337;0;0;KTTA-19;2019-12-06;2020-01-22;;2020-01-23;2020-01-27;1834.7;1766.7;12;2;;;3
112;21;BELAZ;3878;37273563;5854;0;0; ““¿-19;2019-11-08;2020-01-22;2020-01-28;2020-01-28;2020-01-30;8416.2;8513.2;12;3;;;3
113;67;BELAZ;0082-19;86071535;12;1;1;4ISBe;2019-11-13;2020-01-21;;2020-01-31;2020-02-04;6583.4;6576.4;50;1;;;3
114;60;BELAZ;1002284;22320601;6212;0;0;QSB6,7;2019-12-06;2020-01-16;;2020-01-20;2020-02-06;803.1;831.1;43;8;;;3
115;41;BELAZ;245886;78743109;91253;1;1;ISL;2020-01-13;2020-01-22;2020-01-31;2020-02-04;2020-02-05;564.7;550.7;35;4;;;3
116;67;ZHONGTONG;274501;78933409;30523;1;5;ISLe;2020-01-14;2020-01-22;2020-02-12;2020-03-04;2020-03-05;2202.6;2268.6;50;7;;;3
117;38;kamaz;303116;86067553;12853;1;1;ISB6.7;2019-09-18;2020-01-22;;2020-01-30;2020-01-30;2297.4;2297.4;34;1;;;3
118;38;kamaz;331731;86061643;26567;1;1;ISB6.7;2019-12-21;2020-01-22;;2020-01-30;2020-01-31;1144.3;1169.3;34;1;;;3
119;67;HIGER;ÙÂ‚.20;78740730;57500;1;5;ISL9.5;2020-01-17;2020-01-22;2020-02-12;2020-03-05;2020-03-12;4864.5;4854.5;50;7;;;3
120;28;belaz;25245;37219588;2141;0;0;KTTA-19;2019-12-09;2020-01-23;;2020-01-23;2020-01-23;3283.9;3256.9;12;2;;;3
121;28;belaz;25246;37277151;3630;0;0;QST-30;2019-12-11;2020-01-23;;2020-01-23;2020-01-23;3387.3;3409.3;11;2;;;3
122;38;kamaz;326565;86070559;96330;1;1;ISB6.7;2019-12-05;2020-01-23;2020-01-30;2020-04-03;;7050.6;7050.6;34;1;;;2
123;28;belaz;25248;37276488;4520;0;0; ““¿-19;2020-01-15;2020-01-23;;2020-01-24;2020-01-29;9230.8;9206.8;11;2;;;3
124;21;HYUNDAI;3808;324496;4350;0;0;QSK-23;2019-09-21;2020-01-23;2020-01-28;2020-01-29;2020-01-29;8718.3;8624.3;12;3;;;3
125;41;HITACHI;‡Ô.20;35343546;4914;0;0;QSM11;2020-01-17;2020-01-23;;2020-02-03;2020-02-03;2234.9;2234.9;35;4;;;3
126;21;Zhong Tong;SZ2096;78547241;91914;1;5;ISLe9;2019-03-05;2020-01-23;;2020-01-23;2020-01-24;1388.2;1388.2;12;7;;;3
127;28;belaz;25247;37245640;607;0;0;KTTA-19;2019-12-11;2020-01-23;;2020-01-23;2020-01-27;1048.7;986.7;12;2;;;3
128;48;ISUZU;2968;22345265;9944;1;5;ISB6.7;2020-01-21;2020-01-23;2020-02-27;2020-03-06;2020-03-06;1051.7;1051.7;38;3;;;3
129;24;volvo;15633;37274271;2503;0;0;QST30;2019-12-13;2020-01-23;2020-02-03;2020-02-10;2020-02-12;3912.5;3938.5;20;9;;;3
130;67;HIGER;Ï‡È.20;78740772;38997;1;5;ISL;2020-01-22;2020-01-23;2020-02-12;2020-03-05;2020-03-06;6952;6853;50;7;;;3
131;21;Yutong;SZ2103;78895999;33633;1;5;ISLe;2019-12-13;2020-01-23;2020-01-23;2020-01-27;2020-01-28;6907;6823;12;7;;;3
132;28;belaz;25249;33218076;4881;0;0;QSK-60;2019-12-03;2020-01-24;2020-01-27;2020-01-28;2020-01-30;9276.1;9279.1;11;2;;;3
133;41;YUTONG;Ï‡È.20;78512364;214731;1;5;ISL;2020-01-21;2020-01-24;;2020-02-03;2020-02-05;9093.6;9015.6;35;4;;;3
134;38;kamaz;338701;86070322;38020;1;1;ISB6.7;2019-12-30;2020-01-24;;2020-01-31;;6065.9;6006.9;34;1;;;2
135;28;belaz;25250;33194887;35;0;0;KTA-50;2019-12-12;2020-01-24;2020-01-24;2020-01-27;2020-01-27;4954.5;5046.5;12;2;;;3
136;28;SHAAZ;25251;37276698;2497;0;4;QST-30;2019-12-03;2020-01-24;;2020-01-24;2020-01-27;8501.4;8501.4;11;2;;;3
137;67;ZHENGZHOU YUTONG;‡Ô.20;78895595;19809;1;5;ISLe;2020-01-20;2020-01-24;;2020-02-12;2020-02-12;3539.1;3539.1;50;5;;;3
138;24;cpg cummins;15661;66300859;346;0;2;QSV91G;2020-01-24;2020-01-24;2020-01-28;2020-01-28;2020-01-31;1503.4;1566.4;20;7;;;3
139;57;KAVZ;474;78180820;17205;1;5;B6.7;2019-12-06;2020-01-24;2020-02-25;2020-03-17;2020-03-17;2067.8;2067.8;42;5;;;3
140;38;kamaz;339676;86065594;9265;1;1;ISB6.7;2020-01-21;2020-01-24;2020-01-29;2020-03-19;2020-03-20;7171.3;7228.3;34;1;;;3
141;36;belaz;1112/2;33215805;1246;0;0;KTA50;2019-12-11;2020-01-24;;2020-02-03;2020-02-10;2269.8;2269.8;18;4;;;3
142;36;belaz;3012/1;37277364;597;0;0;ktta19;2019-12-30;2020-01-24;;2020-02-03;2020-02-03;2154.2;2160.2;18;4;;;3
143;64;belaz;46;33216371;4320;0;0;QSK45;2019-10-27;2020-01-24;2020-02-18;2020-02-21;2020-03-02;7609.7;7667.7;47;5;;;3
144;28;belaz;25252;37274879;2248;0;0;QSK-19;2019-11-11;2020-01-27;;2020-01-27;2020-01-28;1404.9;1432.9;11;2;;;3
145;28;belaz;25253;66304726;5924;0;0;QSK-78;2019-12-01;2020-01-27;;2020-01-28;2020-01-31;8853.3;8838.3;11;2;;;3
146;28;belaz;25254;37268870;5349;0;0;KTTA-19;2019-12-13;2020-01-27;;2020-01-28;2020-01-30;6739;6739;12;2;;;3
147;38;kamaz;324364;86069667;16706;1;1;ISB6.7;2019-11-28;2020-01-27;;2020-02-03;;1532.5;1600.5;34;1;;;2
148;38;kamaz;316170;86066791;12118;1;1;ISB6.7;2019-11-07;2020-01-27;;2020-02-04;2020-02-04;138.1;138.1;34;1;;;3
149;28;belaz;25255;37246512;6364;0;0;KTTA-19;2019-12-13;2020-01-27;;2020-01-28;2020-01-30;5726.4;5764.4;12;2;;;3
150;67;GRUNDFOS;0087-19;80004105;31;0;3;QSX15;2019-11-28;2020-01-27;2020-02-12;2020-03-10;2020-03-13;5291.8;5281.8;50;9;;;3
152;21;BELAZ;3880;37275579;4618;0;0; ““¿-19;2019-11-13;2020-01-27;2020-01-28;2020-01-29;2020-01-29;3175.8;3175.8;12;3;;;3
153;21;BELAZ;3881;37273563;5957;0;0; ““¿-19;2019-11-13;2020-01-27;2020-01-28;2020-01-29;2020-01-29;4974.5;4934.5;12;3;;;3
154;28;belaz;25256;66305257;3396;0;0;QSK-78;2020-01-21;2020-01-27;;2020-01-28;2020-01-31;5523.6;5476.6;11;2;;;3
155;38;kamaz;338700;86069238;15008;1;1;ISB6.7;2019-12-25;2020-01-27;;2020-02-04;2020-02-05;3367.3;3289.3;34;1;;;3
156;38;kamaz;326441;86068697;24573;1;1;ISB6.7;2019-12-04;2020-01-27;2020-02-04;2020-02-21;2020-02-21;2486.5;2491.5;34;1;;;3
157;21;BELAZ;3780;33217436;1862;0;0;QSK-60;2019-09-07;2020-01-27;;2020-01-28;2020-01-28;7981.3;8001.3;12;3;;;3
158;21;BELAZ;3781;33217224;3335;0;0;QSK-60;2019-09-08;2020-01-27;2020-01-28;2020-01-29;2020-01-30;7136.4;7057.4;12;3;;;3
159;38;kamaz;336529;86065763;86982;1;1;ISB6.7;2020-01-04;2020-01-27;;2020-02-04;2020-02-05;7593.4;7614.4;34;1;;;3
160;70;cpg cummins;D013;K18I419468;7578;0;2;4BTAA3.4-G14;2019-12-12;2020-01-27;;2020-02-10;2020-02-11;6895.5;6895.5;52;9;;;3
161;64;HITACHI;45;85004890;2641;0;0;QSK-23;2019-10-21;2020-01-27;2020-02-17;2020-03-12;;7822;7822;47;3;;;2
162;38;kamaz;339571;86049578;241546;1;1;ISB4.5;2020-01-20;2020-01-27;;2020-02-04;;415;415;34;1;;;2
163;57;KAVZ;491;78180762;62987;1;5;B6.7;2019-07-05;2020-01-27;2020-02-25;2020-03-02;2020-03-06;6712.9;6712.9;42;5;;;3
164;70;BENTEC;d019;900563;196;0;2;KTA50;2019-12-06;2020-01-27;2020-02-11;2020-03-11;2020-07-09;5416.8;5416.8;52;9;;;3
165;70;BENTEC;d020;900568;510;0;2;KTA50;2019-12-16;2020-01-27;2020-02-25;2020-03-11;2020-07-09;9917.9;9917.9;52;9;;;3
166;28;belaz;25257;66305212;3252;0;0;QSK-78;2020-01-16;2020-01-28;2020-01-28;2020-01-30;2020-02-04;5906.1;5954.1;11;2;;;3
167;28;belaz;25258;37208337;594;0;0;KTTA-19;2019-12-05;2020-01-28;2020-01-28;2020-01-30;2020-01-30;4105.4;4047.4;11;2;;;3
168;28;belaz;25259;37246512;6264;0;0;KTTA-19;2019-12-05;2020-01-28;;2020-01-28;2020-01-30;7486;7539;11;2;;;3
169;21;ATLAS COPCO;3879;37275385;2482;0;2;QST-30;2019-11-04;2020-01-28;2020-01-28;2020-01-30;2020-02-03;6671.1;6671.1;12;3;;;3
170;24;belaz;15727;37275566;6278;0;0;K19;2019-12-20;2020-01-28;2020-01-29;2020-01-29;2020-01-30;5734.9;5758.9;20;7;;;3
171;36;BENTEC;D019;900563;196;0;2;KTA 50;2019-12-12;2020-01-28;2020-02-25;2020-03-12;2020-04-27;6576;6657;18;4;;;3
172;36;BENTEC;D020;900568;510;0;2;KTA 50;2019-12-24;2020-01-28;2020-02-25;2020-03-12;2020-08-01;7943.7;7947.7;18;4;;;3
173;28;belaz;25260;37277332;4695;0;0;QSK-19;2019-12-09;2020-01-29;2020-01-30;2020-02-14;2020-02-17;6336.7;6336.7;12;2;;;3
174;28;Terex;25261;33208465;1279;0;0;KTA-38;2019-12-09;2020-01-29;;2020-01-30;2020-01-31;3366.3;3277.3;12;2;;;3
175;21;BELAZ;3883;33214175;3461;0;0; “¿-38;2019-11-13;2020-01-29;;2020-01-29;2020-01-30;2712.6;2775.6;12;3;;;3
